Bracket_ID,Upset_Count
6556097422630969082,8
6548198518220291642,7
6548233703122949746,5
6548216265008696904,7
6404118523098125946,5
8854072313749249916,10
6476123331988119138,10
6619165397521258297,10
8714443124949079675,12
6548233840287510889,7
6548232620269065836,6
6557204617955333929,6
6557205718003844761,9
8854076849372230714,5
9214364682675126011,11
6556097422765045289,12
8782013749185214202,11
6548228217922540671,12
6556115015352344099,12
6543725722092377658,6
8709943928046441598,7
6404118652218990129,9
6476158516764497530,7
6548198514311454303,8
8926093623905641822,10
